content	username
['nonton', 'konser']	curiousguyjkt_
['svt', 'dktan', 'coldplay', 'plis', 'duit']	kupseniyo
['beli', 'lv', 'konser', 'coldplay']	doubleyuly
['buka', 'bca']	Ry_Odji
['announcement', 'official', 'coldplay', 'rumornya', 'promotor', 'announce']	pejuanghidup26
['jalanjalan', 'nonton', 'konser', 'coldplay']	tiramissad
['info', 'jastippp']	kr1spykremee
['padalan', 'coldplay', 'lho']	randy_kempel
['konser', 'batin', 'coldplay', 'che']	BowoAreztu
['fancam', 'yellow', 'heheh']	27082min
['cintaa', 'ayo', 'krja', 'keras', 'biar', 'coldplay', 'date']	katanyaptus
['barat', 'kepop', 'enfai']	fransiratna
['coldplay']	fitriaandika01
['alias', 'batal', 'coldplay', 'confirmeddd', 'ceunah']	reginaerer
['coldplay', 'confirmed', 'hebat', 'purnama', 'kereen']	Supri50_
['coldplay', 'yatuhan']	thiazaindn
['terbukti', 'smpe', 'nft', 'rencana', 'dr', 'hybe', 'dijlankan', 'padhl', 'era', 'nft', 'rame', 'hrusny', 'kluar', 'produknya', 'blockchain', 'kelmaan', 'mslah', 'malsh', 'mreka', 'jdiin', 'percobaan', 'bkin', 'konser', 'coldplay', 'simple']	haridaresa
['jujur', 'taylor', 'coldplay', 'bruno', 'tour', 'rumor', 'deket', 'coldplay', 'hah', 'thescript', 'kenapaaa']	akubbycarat
['dilema', 'nontin', 'coldplay']	Wantrmln
['confirm', 'bodo', 'standby', 'siap2', 'pc']	_noedels
['coldplay', 'thailand']	rayhanyit
['concerts', 'worth', 'salah', 'coldplay', 'uda', 'siapin', 'plan', 'tiket', 'even', 'worse', 'konser', 'jakarta']	cathydjaya
['dompet', 'coldplay']	kr39__
['nonton', 'coldplay', 'mima']	Haveraine
['coldplay', 'pd', 'tua', 'takut', 'bubar']	notjustpitstop
['solo']	hendinuhade
['jadiii']	arifnrokhman
['iihhh', 'hebat', 'bawa', 'coldplay', 'indo', 'php']	cille_26
['allah', 'lancarkan', 'rezeki', 'concert', 'coldplay', 'jakarta', 'berkahi', 'kesehatanmu']	Geraamanda
['saosin', 'bmth', 'coldplay', 'ayo']	hattamaulana07
['infokan', 'trip', 'coldplay']	genzlerrr
['haha', 'laa', 'je', 'concert', 'coldplay', 'betul2']	azazarif
